Enter simulation format, (F)ile or (R)andom: f
Enter number of CPUs: 2
Enter filename: file-input.csv
1: -, -
2: A, -
3: A, B
4: A, B
5: A, B
6: A, B
7: A, B
8: A, -
9: A, -
10: A, -
11: A, -
12: A, -
13: A, -
14: A, -
15: A, -
16: A, -
17: A, -
18: A, -
19: A, -
20: A, -
21: A, -
22: A, -
23: A, -
24: A, -
25: A, -
26: A, -
27: A, -
28: A, -
29: A, -
30: A, -
31: A, -
32: A, -
33: A, -
34: A, -
35: A, C
36: A, C
37: A, C
38: A, C
39: A, C
40: A, C
41: A, C
42: A, C
43: A, C
44: A, C
45: A, C
46: A, C
47: A, C
48: A, C
49: A, C
50: A, C
51: A, C
52: A, C
53: A, C
54: A, C
55: A, C
56: A, C
57: A, C
58: A, C
59: A, C
60: A, C
61: A, C
62: A, C
63: A, C
64: A, C
65: A, C
66: A, C
67: A, C
68: A, C
69: A, -
70: A, -
71: A, -
72: A, -
73: A, -
74: A, -
75: A, -
76: A, -
77: A, -
78: A, -
79: A, -
80: A, -
81: A, -
82: A, -
83: A, -
84: A, -
85: A, -
86: A, -
87: A, -
88: A, -
89: -, -
90: -, -
91: -, -
92: D, -
93: D, -
94: D, -
95: D, -
96: D, -
97: D, -
98: D, -
99: D, -
100: D, -
101: D, -
102: D, -
103: D, -
104: D, -
105: D, -
106: -, -
107: -, -
108: -, -
109: -, -
110: -, -
111: -, -
112: -, -
113: -, -
114: -, -
115: -, -
116: -, -
117: -, -
118: -, -
119: -, -
120: -, -
121: -, -
122: -, -
123: -, -
124: -, -
125: -, -
126: -, -
127: -, -
128: -, -
129: -, -
130: -, -
131: -, -
132: -, -
133: E, -
134: E, -
135: E, -
136: E, -
137: E, -
138: E, -
139: E, -
140: E, -
141: E, -
142: E, -
143: E, -
144: E, -
145: E, -
146: E, -
147: E, F
148: E, F
149: E, F
150: E, F
151: E, F
152: E, F
153: E, F
154: E, F
155: E, F
156: E, F
157: E, F
158: E, F
159: E, F
160: E, F
161: E, F
162: E, F
163: E, F
164: E, F
165: E, F
166: E, F
167: E, F
168: E, F
169: E, F
170: E, F
171: E, F
172: E, F
173: E, F
174: E, F
175: E, F
176: E, F
177: E, F
178: E, F
179: E, F
180: G, F
181: H, F
182: H, F
183: H, F
184: H, F
185: H, F
186: H, F
187: H, F
188: H, F
189: H, F
190: H, F
191: H, F
192: H, F
193: H, F
194: H, F
195: H, F
196: H, F
197: H, F
198: H, I
199: H, I
200: H, I
201: H, I
202: -, I
203: -, I
204: -, I
205: -, I
206: -, I
207: -, I
208: -, I
209: -, I
210: -, I
211: -, I
212: -, I
213: -, I
214: -, I
215: -, I
216: -, I
217: J, I
218: J, I
219: J, I
220: J, I
221: J, I
222: J, I
223: -, I
224: -, I
225: -, I
226: -, I
227: -, I
228: -, I
229: -, I
230: K, I
231: K, I
232: K, I
233: K, I
234: K, I
235: K, I
236: K, I
237: K, I
238: K, I
239: K, I
240: K, I
241: K, I
242: K, I
243: K, I
244: K, I
245: K, I
246: K, I
247: K, I
248: K, I
249: K, I
250: K, I
251: K, I
252: K, I
253: K, I
254: K, I
255: K, I
256: K, I
257: K, I
258: K, I
259: K, I
260: K, I
261: K, I
262: K, I
263: K, I
264: K, I
265: K, I
266: K, I
267: K, I
268: K, I
269: K, I
270: K, I
271: K, I
272: K, I
273: K, I
274: K, I
275: K, I
276: K, I
277: K, I
278: K, I
279: K, I
280: K, I
281: K, I
282: K, I
283: K, I
284: K, I
285: K, O
286: K, O
287: K, O
288: K, O
289: K, O
290: K, O
291: K, O
292: K, O
293: K, O
294: K, O
295: K, O
296: K, O
297: K, M
298: K, M
299: K, M
300: K, M
301: K, M
302: K, M
303: K, M
304: K, M
305: K, M
306: K, M
307: K, M
308: K, M
309: K, M
310: K, M
311: K, M
312: P, M
313: P, M
314: P, M
315: P, M
316: P, M
317: P, M
318: P, M
319: P, M
320: P, M
321: P, M
322: P, M
323: P, M
324: P, M
325: P, M
326: R, M
327: R, M
328: R, M
329: R, M
330: R, M
331: R, M
332: R, M
333: R, M
334: R, M
335: R, M
336: R, Q
337: R, Q
338: R, Q
339: R, Q
340: R, Q
341: R, Q
342: R, Q
343: R, Q
344: R, Q
345: R, Q
346: R, Q
347: R, Q
348: R, Q
349: R, Q
